GeoId,InDegree
1257,0
448,10.2381089686516
607,0
620,0
481,77.54982825292903
723,0
1358,0
1107,0
1147,0
1095,0
1345,0
1344,0
10,0
1233,0
803,0
39,0
1340,0
498,41.51741826895841
1349,0
1370,0
661,0
194,0
789,0
914,0
925,0
321,0
1353,0
80,0
294,0
139,0
956,0
589,0
1042,0
484,30.306291682671116
970,0
1389,0
1327,0
652,0
962,0
837,0
724,0
557,0
823,0
642,0
13,0
474,57.62913159148029
596,0
1275,0
821,0
664,0
282,0
436,50.623748447116135
709,0
452,55.84166236821094
1298,0
817,0
1366,0
1218,0
774,0
711,0
462,105.57819623604783
134,0
68,0
683,0
18,0
909,0
625,0
816,0
413,33.33117428407491
790,0
385,3.4073838356504003
546,0
189,0
1201,0
87,0
154,0
453,79.81065185369629
434,46.5463965379095
409,11.862356238083645
1077,0
663,0
875,0
580,0
1199,0
8,0
164,0
427,14.758213374962384
300,0
773,0
1061,0
854,0
959,0
266,0
976,0
952,0
269,0
144,0
52,0
156,0
208,0
857,0
721,0
835,0
167,0
268,0
1008,0
968,0
796,0
570,0
234,0
129,0
1254,0
940,0
112,0
634,0
9,0
1055,0
973,0
1103,0
171,0
70,0
535,0
1177,0
619,0
533,0
1142,0
755,0
461,7.0673409391467015
357,0
843,0
337,0
1248,0
739,0
986,0
238,0
1076,0
1237,0
478,62.63842615206118
836,0
647,0
310,0
1054,0
1044,0
111,0
345,0
45,0
99,0
170,0
314,0
104,0
102,0
578,0
127,0
1229,0
173,0
1244,0
719,0
1019,0
175,0
912,0
712,0
370,0
1310,0
214,0
869,0
679,0
1137,0
1373,0
1390,0
174,0
988,0
791,0
124,0
395,3.2492259149391702
1045,0
133,0
1070,0
350,0
994,0
166,0
1066,0
1312,0
431,37.59218355000281
919,0
375,0
687,0
828,0
698,0
618,0
1204,0
1264,0
678,0
148,0
1231,0
1198,0
236,0
882,0
989,2.836847426479543
637,0
922,0
943,0
685,0
37,0
412,61.40310837891819
184,0
549,0
1243,0
958,0
75,0
981,0
1172,0
802,0
874,0
280,0
472,8.6403043908729
320,0
1291,0
740,0
1085,0
715,0
735,0
1072,0
1027,0
26,0
59,0
1138,0
373,0
151,0
928,0
675,0
547,0
422,49.06963891048638
880,0
1225,0
1009,0
101,0
946,0
759,0
1210,0
1073,0
734,0
1125,0
805,0
1167,0
1022,0
916,0
785,0
1063,0
888,0
949,0
1089,0
696,0
815,0
556,0
267,0
1314,0
398,13.638592378090898
1206,0
1023,0
207,0
449,101.01383749301743
46,0
157,0
1026,0
900,0
1307,0
562,0
672,0
502,47.47033880724986
893,0
763,0
323,0
344,0
64,0
519,0
848,0
865,0
659,0
748,0
838,0
242,0
891,0
1409,0
703,0
1205,0
991,0
495,76.03503505534914
400,50.66128169534977
960,0
1286,0
1161,0
1241,0
420,27.227919241106225
910,0
246,0
397,80.83617080527057
1228,0
352,0
593,0
57,0
1272,0
1346,0
985,0
1220,0
140,0
291,0
256,0
729,0
538,0
180,0
1292,0
671,0
761,0
327,0
1174,0
1365,0
261,0
237,0
213,0
987,0
1101,0
1034,0
27,0
1207,0
21,0
769,0
23,0
1369,0
613,0
1215,0
425,70.50147769543842
185,0
430,30.845745499012317
905,0
377,6.221089104291699
552,0
1396,0
356,0
718,0
1226,0
932,0
591,0
1010,0
149,0
199,0
311,0
933,0
979,0
1347,0
978,0
682,0
1323,0
582,0
1213,0
971,0
348,0
72,0
559,0
42,0
697,0
43,0
961,0
1028,0
1030,0
1282,0
677,0
938,0
503,4.8710905865054
1317,0
1162,0
1069,0
1106,0
1067,0
1372,0
644,0
1151,0
1043,0
586,0
441,70.43660612110138
1255,0
