source,target,weight
178,435,0.310974211779
408,883,0.115698344347
156,423,0.324661331576
812,482,0.0
888,506,0.0
70,479,0.227543134683
225,421,0.382291285595
327,394,0.221269400421
309,507,0.63703532663
1166,883,0.0792259073964
1279,426,0.0
1074,440,0.379806699094
203,508,0.427438846554
136,396,0.491632606324
490,496,0.0297913782046
869,486,0.0641375867819
1404,505,0.24703982861
302,506,0.271016073313
1208,507,0.430241630655
1226,456,0.959304399019
434,490,0.0263754559546
535,497,0.0
259,396,0.408628832817
660,423,0.345753257718
1350,497,0.13536336332
498,414,0.0331987511323
485,448,0.0
382,494,0.0236990420714
1479,418,0.146011608626
133,465,0.0
1365,423,1.29636706405
9,500,0.0
237,377,0.376496249115
193,883,0.0
326,392,0.627951032238
408,505,0.0418839786191
223,505,0.0
255,418,0.451322899396
657,507,0.0
286,407,0.340662291816
194,426,0.263340198558
441,427,0.00665904001942
287,412,0.0964546633918
21,445,0.771767791269
1302,467,0.43373573741
256,500,0.197806947545
179,449,0.481372393018
429,448,0.0150912649076
88,418,0.0
923,423,0.422278550663
649,489,0.0
370,425,0.12788237264
303,449,0.284365863801
260,508,0.178501746037
438,414,0.0536040089713
629,411,0.0
790,445,0.0
775,403,0.156253881662
480,461,0.0
150,508,1.0655708241
317,440,0.313045871045
1163,449,0.433325019487
1238,468,0.160468976529
128,461,0.294399709101
10,396,0.740449121465
1061,435,0.0
648,442,0.387102493677
471,477,0.126048146571
570,456,0.392561384907
34,396,0.735577954155
607,425,0.401835690872
1667,501,0.0
569,467,0.0
527,396,0.220227122318
770,467,0.207556103303
143,507,0.367392338263
331,497,0.176876427238
380,398,0.105693430795
1369,442,0.49955929896
170,455,0.0
257,468,0.61636688283
122,506,0.212841306325
1266,467,0.0
479,382,0.0897402374953
628,403,0.233836018218
925,468,0.399708885114
1085,391,0.0
390,479,0.0520116492198
1237,425,0.513889370197
1652,467,0.0
628,423,0.0
771,468,0.0
511,465,0.245158440987
450,426,0.0180438911689
508,403,0.0451656575999
478,476,0.0054166806821
185,449,0.37711121633
876,396,0.549851886298
751,507,0.0
499,442,0.0861230326734
437,479,0.0232010948113
926,406,0.669034832521
1289,506,0.199234883491
1547,508,1.23339409277
844,508,0.179564379513
226,412,0.0
192,489,0.123841734834
656,437,0.0
1479,449,0.0
417,509,0.0
480,437,0.0
443,453,0.0187371198733
202,396,0.162626123096
850,399,0.161470096168
139,502,0.370259260333
440,391,0.120543526844
308,508,0.448686120761
793,425,0.564858014438
160,502,0.21704032036
154,449,0.291204255978
495,509,0.0
300,392,0.480928766114
296,507,0.440956365012
1458,425,0.0
803,497,0.110638474254
342,426,0.0
481,442,0.0587388677766
294,394,0.370717055044
183,461,0.246367388177
311,426,0.16262005474
57,453,0.396001777385
294,500,0.0
38,500,0.0
115,421,0.226505407808
637,482,0.403715402204
475,426,0.0344413163115
150,488,0.0
489,475,0.0205219875084
584,404,0.0
812,468,0.344837669474
13,445,0.685567845356
1181,392,0.0
684,497,0.464248329918
1354,425,0.0
1519,502,0.328600822164
1284,468,0.0
183,407,0.358536856665
738,401,0.116798172718
195,453,0.179795370362
897,467,0.0
544,381,0.0
1513,417,0.204035042953
602,472,0.0
364,479,0.177899699258
1635,456,0.23962902405
482,483,0.00351861538232
788,435,0.0
484,471,0.085236048745
791,508,0.0
492,404,0.0
933,412,0.0
170,507,0.50118953286
112,411,0.0
161,396,0.513883904766
452,485,0.0240858814917
405,403,0.0871034681577
9,423,1.31930460901
1684,423,0.2779995636
819,440,0.172121120202
291,437,0.0
286,448,0.513235413171
509,381,0.031168138615
980,508,1.088279494
201,449,0.317032200557
170,377,0.330080559153
956,392,0.400929390605
1057,449,0.0
